# 首笔残留差异白名单：首笔对照里已知且接受的差异。白名单之外一处不符即视为验收失败。
# 规范依据：《通用规范汉字笔顺规范》（GF 0023—2020）——这些字按规范裁定的首笔与对照源
# （hanzi-writer-data，Arphic 字形）的几何分类不一致，属于对照源分笔 / 几何近似的假阳性，本表保留。
# 字<TAB>本表首笔<TAB>对照类别<TAB>说明（h 横 / s 竖 / p 撇 / n 点捺 / z 折）
飞	z	n	飞（首笔横折弯钩归折）
且	s	z	山/⺌/虍 头（首笔竖）
阴	z	s	女旁（撇点归折）
防	z	s	女旁（撇点归折）
妃	z	s	女旁（撇点归折）
妈	z	s	女旁（撇点归折）
岗	s	z	山/⺌/虍 头（首笔竖）
阻	z	s	女旁（撇点归折）
妓	z	s	女旁（撇点归折）
妙	z	s	女旁（撇点归折）
姊	z	s	女旁（撇点归折）
妨	z	s	女旁（撇点归折）
虏	s	z	山/⺌/虍 头（首笔竖）
岸	s	z	山/⺌/虍 头（首笔竖）
岩	s	z	山/⺌/虍 头（首笔竖）
凯	s	z	山/⺌/虍 头（首笔竖）
陋	z	s	女旁（撇点归折）
限	z	s	女旁（撇点归折）
妹	z	s	女旁（撇点归折）
姑	z	s	女旁（撇点归折）
姆	z	s	女旁（撇点归折）
削	s	z	山/⺌/虍 头（首笔竖）
陨	z	s	女旁（撇点归折）
院	z	s	女旁（撇点归折）
姥	z	s	女旁（撇点归折）
姨	z	s	女旁（撇点归折）
娜	z	s	女旁（撇点归折）
虑	s	z	山/⺌/虍 头（首笔竖）
党	s	z	山/⺌/虍 头（首笔竖）
鸯	s	n	出/祟/罒/央 头（首笔竖，Arphic 分笔不同）
臭	p	z	乃/臼/自/皿 旁（首笔撇）
陵	z	s	女旁（撇点归折）
娟	z	s	女旁（撇点归折）
娥	z	s	女旁（撇点归折）
颅	s	z	山/⺌/虍 头（首笔竖）
虚	s	z	山/⺌/虍 头（首笔竖）
常	s	z	山/⺌/虍 头（首笔竖）
崭	s	z	山/⺌/虍 头（首笔竖）
崔	s	z	山/⺌/虍 头（首笔竖）
盘	p	z	乃/臼/自/皿 旁（首笔撇）
婶	z	s	女旁（撇点归折）
赏	s	z	山/⺌/虍 头（首笔竖）
掌	s	z	山/⺌/虍 头（首笔竖）
嵌	s	z	山/⺌/虍 头（首笔竖）
隔	z	s	女旁（撇点归折）
媚	z	s	女旁（撇点归折）
婿	z	s	女旁（撇点归折）
罩	s	n	出/祟/罒/央 头（首笔竖，Arphic 分笔不同）
舅	p	z	乃/臼/自/皿 旁（首笔撇）
障	z	s	女旁（撇点归折）
嫉	z	s	女旁（撇点归折）
嫁	z	s	女旁（撇点归折）
裳	s	z	山/⺌/虍 头（首笔竖）
隧	z	s	女旁（撇点归折）
嫩	z	s	女旁（撇点归折）
巅	s	z	山/⺌/虍 头（首笔竖）
巍	s	z	山/⺌/虍 头（首笔竖）
巡	z	s	巛头（撇点×3 皆折）
凿	s	z	竖首
餐	s	z	歺首竖
小	s	z	竖钩归竖（GF 0023—2020：竖包括竖钩；对照源几何误判）
水	s	z	竖钩归竖（GF 0023—2020：竖包括竖钩；对照源几何误判）
发	z	n	横折首（GF 0023—2020；对照源几何误判，README 旧说法已更正）
迅	z	n	卂首横折弯钩（GF 0023—2020；对照源几何误判）
祟	z	n	出字头竖折首（GF 0023—2020；对照源分笔不同）

